pathway,tissue,weighting_variant,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
HALLMARK_MYC_TARGETS_V1,colon,all_nes,-2.356821995572167,-1.3696245972583936,-2.30798952583367,2.4000041866821933,-1.2549833868550806,-1.2278742238274665,1.0583120241574393,-1.331168764233598,-2.6538952135684544,0.7842114654410655,1.626168644035425,1.9417688631458592,1.9661067101135377,0.7930111894819178,1.5170483876223364,-1.8136412654384548
HALLMARK_MYC_TARGETS_V1,colon,significant_only,-2.356821995572167,0.0,-2.30798952583367,2.4000041866821933,0.0,0.0,0.0,0.0,-2.6538952135684544,0.0,1.626168644035425,1.9417688631458592,1.9661067101135377,0.0,0.0,-1.8136412654384548
HALLMARK_MYC_TARGETS_V2,colon,all_nes,-1.3431649104728491,-1.0204528662909451,1.0531699635156486,1.5291873811465675,-1.901298207888941,1.777733447912631,-0.751377234302867,-1.0216939719047091,-2.141620406452696,1.3700361082353147,1.5444122359340386,1.7148836330871693,-1.0584289967978442,0.7996541363436663,1.3661598188716204,-1.0760121148293569
HALLMARK_MYC_TARGETS_V2,colon,significant_only,0.0,0.0,0.0,0.0,0.0,1.777733447912631,0.0,0.0,-2.141620406452696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLMARK_KRAS_SIGNALING_UP,colon,all_nes,1.0352068857571168,-1.9669901688173392,0.7905095782966929,-0.7562382958652972,1.4545121749254777,1.2287957216637662,1.0129279330833048,-1.0688456794132113,1.0668966802729092,0.9134029445239428,-1.041646837076277,-1.2344123354018777,-1.7543085244525418,1.1392316298665095,1.2586448981722878,-2.0688524594404125
HALLMARK_KRAS_SIGNALING_UP,colon,significant_only,0.0,-1.9669901688173392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7543085244525418,0.0,0.0,-2.0688524594404125
HALLMARK_KRAS_SIGNALING_DN,colon,all_nes,1.5770489403875354,-0.9819660296842414,1.01964193986078,-1.0590772485012276,0.9619429530456024,-1.0353673978709814,-1.182511684418551,-1.0676951170674929,1.0899263945326003,0.4394503406977804,1.3189621487862684,1.1713084411611026,-1.5213252452912631,0.3925085489921637,0.9342520478327988,1.1320622540552785
HALLMARK_KRAS_SIGNALING_DN,colon,significant_only,1.5770489403875354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REACTOME_SIGNALING_BY_WNT,colon,all_nes,0.7806901876294527,-0.6386297956719853,0.991146453588874,-1.2565997704890657,0.7429074217648812,-0.7680419580766619,-1.155128838967295,-1.052471204890783,-0.7099748035693306,0.9805297910774756,0.7011091451628663,1.0645546184942838,-1.316019820399198,1.4510140807908598,1.3646776166674195,1.967238180573571
REACTOME_SIGNALING_BY_WNT,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.967238180573571
REACTOME_SIGNALING_BY_WNT_IN_CANCER,colon,all_nes,-0.8181275130765503,0.7583985474499513,0.7293888881193127,0.6473328605172277,1.102331970110613,0.7607400056801248,-0.5424148276993458,1.3800318163812295,-1.3343081253819151,0.8518105881406082,1.052516195766284,0.5848957966605033,-1.0293710204489812,0.9208384876474782,-0.6743086727581639,1.4478890437848655
REACTOME_SIGNALING_BY_WNT_IN_CANCER,colon,significant_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
